"Record ID","Catalog Number","Match Taxon Concept GUID","Scientific Name","Vernacular Name","Matched Scientific Name","Taxon Rank - matched","Vernacular Name - matched","Kingdom - matched","Phylum - matched","Class - matched","Order - matched","Family - matched","Genus - matched","Species - matched","Subspecies - matched","Institution Code","Collection Code","locality","Latitude - original","Longitude - original","geodetic Datum","Latitude - processed","Longitude - processed","Coordinate Uncertainty in Metres - parsed","Country - parsed","Collector","Year - parsed","Month - parsed","Event Date - parsed","Basis Of Record - original","Basis Of Record - processed","Sex","Taxon identification issue","Location Quality","ROW _ i","Data Resource ID","Data Resource Name","Water Observations From Space","Aridity index - annual mean","Distance - to any water (weighted)","2030A1BMk35M: Water potential - annual mean","Moisture - average","Moisture - variability","Occurrence status assumed to be present","Geodetic datum assumed WGS84","Name not recognised"
"993c53dc-5192-40b7-a3e2-f9a833396609","","","","","","","","","","","","","","","","","","","-35.63378303","143.741657","","-35.63378303","143.741657","","","","","","","","","","","true","472","drt19609","","31.25","0.34736854","0.0","-1.4131776","41.0","8.0","true","true","true"
"994697d9-a616-48b1-980a-a130453dc2ee","","","","","","","","","","","","","","","","","","","-37.80032496","148.363464","","-37.80032496","148.363464","","","","","","","","","","","true","457","drt19609","","2.1126761","","0.02828427","-0.98144364","52.0","8.0","true","true","true"
"994a88e6-1e12-4111-81ba-d34fff0b4550","","","","","","","","","","","","","","","","","","","-37.37270004","146.764651","","-37.37270004","146.764651","","","","","","","","","","","true","596","drt19609","","0.0","4.262353","0.0","-0.18561217","73.0","6.0","true","true","true"
"998bc60d-76be-43de-90da-48cb59c902ee","","","","","","","","","","","","","","","","","","","-35.67092802","143.345696","","-35.67092802","143.345696","","","","","","","","","","","true","653","drt19609","","21.761658","0.35271645","0.0","-1.4533674","","","true","true","true"
"99f0a268-97d5-4b32-b1fc-5564c922e450","","","","","","","","","","","","","","","","","","","-37.68204499","145.349908","","-37.68204499","145.349908","","","","","","","","","","","true","1081","drt19609","","0.0","0.81477","0.01","-1.0350742","58.0","8.0","true","true","true"
"9a3006d7-3c98-4b0d-87e8-64cf458feac8","","","","","","","","","","","","","","","","","","","-38.46600599","145.279008","","-38.46600599","145.279008","","","","","","","","","","","true","1005","drt19609","","17.44186","0.9677328","0.044721358","-0.82939416","57.0","4.0","true","true","true"
"9a835fc6-1edd-42fe-8158-434b07975a5e","","","","","","","","","","","","","","","","","","","-37.90521702","144.624749","","-37.90521702","144.624749","","","","","","","","","","","true","1199","drt19609","","1.734104","0.5120386","0.0","-1.4825555","47.0","4.0","true","true","true"
"9a91e8d9-396f-4a73-9613-eb327e3d41d0","","","","","","","","","","","","","","","","","","","-37.43863796","145.807528","","-37.43863796","145.807528","","","","","","","","","","","true","494","drt19609","","0.0","4.090469","0.0","-0.10936757","72.0","7.0","true","true","true"
"9a922154-4350-4d96-99e7-8ad60b909163","","","","","","","","","","","","","","","","","","","-34.27485198","142.21124","","-34.27485198","142.21124","","","","","","","","","","","true","1184","drt19609","","0.0","0.22595212","0.0","-1.5","38.0","9.0","true","true","true"
"9adce081-9091-44b0-949a-5959ad189c81","","","","","","","","","","","","","","","","","","","-38.19925804","143.606995","","-38.19925804","143.606995","","","","","","","","","","","true","49","drt19609","","9.467456","0.7418983","0.0","-1.2315184","52.0","4.0","true","true","true"
"9b2ca0c2-8baa-4f66-9099-7631093f71b6","","","","","","","","","","","","","","","","","","","-37.68204499","145.349908","","-37.68204499","145.349908","","","","","","","","","","","true","1076","drt19609","","0.0","0.81477","0.01","-1.0350742","58.0","8.0","true","true","true"
"9b58baf9-7c90-41e9-87b6-6205ceb28891","","","","","","","","","","","","","","","","","","","-37.48810502","145.880159","","-37.48810502","145.880159","","","","","","","","","","","true","424","drt19609","","0.5681818","4.9243193","0.0","-0.04347711","74.0","6.0","true","true","true"
"9b944efa-e348-4663-9e67-9807a635f04a","","","","","","","","","","","","","","","","","","","-34.79387401","143.212386","","-34.79387401","143.212386","","","","","","","","","","","true","543","drt19609","","17.712177","0.27709273","0.0","-1.4836283","40.0","8.0","true","true","true"
"9bdf7b2c-eb22-4fd8-9d81-9f29d943b4cb","","","","","","","","","","","","","","","","","","","-37.58785402","141.114","","-37.58785402","141.114","","","","","","","","","","","true","810","drt19609","","0.0","0.90165585","0.13","-0.8872292","49.0","6.0","true","true","true"
"9beee427-37f3-473c-8608-8065b90afde9","","","","","","","","","","","","","","","","","","","-38.33237599","143.584578","","-38.33237599","143.584578","","","","","","","","","","","true","277","drt19609","","70.114944","0.94913596","0.0","-0.98316807","","","true","true","true"
"9c2f6092-b00a-4eb0-9789-2bf9e92f5a86","","","","","","","","","","","","","","","","","","","-37.77864098","148.412272","","-37.77864098","148.412272","","","","","","","","","","","true","66","drt19609","","61.254612","0.8756339","0.0","-0.83929336","53.0","8.0","true","true","true"
"9c90d2c9-ff32-4064-bb9c-b2feccfa6096","","","","","","","","","","","","","","","","","","","-37.96893298","145.727484","","-37.96893298","145.727484","","","","","","","","","","","true","183","drt19609","","0.5988024","1.284073","0.0","-0.589355","70.0","6.0","true","true","true"
